sap-id;street;zip;place;state;network-address
3953;Romanshornerstrasse 126;8280;Kreuzlingen;TG;10.110.236.48
3954;Wilerstrasse 82;9200;Gossau;SG;10.110.236.64
3955;Place de la Gare 5;2900;Porrentruy;JU;10.110.236.80
3957;Bernstrasse 11;3238;Gals;BE;10.110.236.96
3999;Laufenstrasse 6;4222;Zwingen;BL;10.110.242.64
4005;Bernstrasse 40;3360;Herzogenbuchsee;BE;10.110.236.112
4006;Alte Belpstrasse 4;3113;Rubigen;BE;10.110.236.128
4009;Badenerstrasse 2;5620;Bremgarten;AG;10.110.236.144
4025;Rothenburgstrasse 24;6020;Emmenbrücke LU;LU;10.110.236.160
4027;Hardstrasse 49;4133;Pratteln;BL;10.110.224.48
4031;Gösgerstrasse 28;5012;Schönenwerd;SO;10.110.236.176
4038;Solothurnstrasse 109;2540;Grenchen;SO;10.110.226.48
4041;Brüggstrasse 71;2503;Biel;BE;10.110.236.192
4052;Route de Morges 20;1162;Saint-Prex;VD;10.110.225.80
4062;Route du Grand St Bernard 1;1933;Sembrancher;VS;10.110.236.208
4097;Talstrasse 28E;7270;Davos Platz;GR;10.110.224.240
4100;Bahnhofplatz 2;6460;Altdorf / UR;UR;10.110.236.224
4104;Ringstrasse 15;6010;Kriens;LU;10.110.236.240
4107;Bahnhofplatz 4;2500;Biel;BE;10.110.237.0
4108;Route de la Gruyère 15;1723;Marly;FR;10.110.237.16
4131;Bahnhofplatz 1;3930;Visp;VS;10.110.237.32
4184;Gewerbestrasse 1;5502;Hunzenschwil;AG;10.110.237.48
4185;Frauenfelderstrasse 6;9542;Münchwilen TG;TG;10.110.224.192
4186;Im Bolacker 8 in Obergerlafingen;4563;Gerlafingen;SO;10.110.237.64
4187;Im Bahnhof 1;8590;Romanshorn;TG;10.110.237.80
4190;Bahnhofplatz 1;5610;Wohlen;AG;10.110.242.80
4226;Zürcherstrasse 110/112;8903;Birmensdorf;ZH;10.110.237.96
4238;Route de la Gemmi 20;3960;Sierre;VS;10.110.237.112
4241;Güterstrasse 10;4133;Pratteln;BL;10.110.237.128
4269;Witikonerstrasse 15;8032;Zürich;ZH;10.110.224.80
4272;Altishoferstrasse 33;6252;Dagmersellen;LU;10.110.237.144
4292;Airport Center;8060;Zürich-Flughafen;ZH;10.110.242.96
4298;Wilerstrasse 202;9500;Wil SG;SG;10.110.237.160
4519;Simmentalstrasse 50;3700;Spiez;BE;10.110.237.176
4520;"""Novartis Campus""  Fabrikstrasse 10";4002;Basel;BS;10.110.237.192
4522;Langenthalstrasse 90;4912;Aarwangen;BE;10.110.237.208
4529;Bahnhofstrasse 6/8;8810;Horgen;ZH;10.110.237.224
4530;Landstrasse 19;9490;Vaduz;FL;10.110.237.240
4554;Hindervormüli 15;6170;Schüpfheim;LU;10.110.224.224
4556;Fabrikstrasse 3;4552;Derendingen;SO;10.110.238.0
4561;Dübendorfstrasse 447;8051;Zürich-Stettbach;ZH;10.110.238.16
4562;Kornhausstrasse 18;9000;St. Gallen;SG;10.110.225.240
4577;Hardstrasse 221;8005;Zürich;ZH;10.110.238.32
4578;Grünaustrasse 1;9300;Wittenbach;SG;10.110.238.48
4600;Kasernenstrasse 25;7000;Chur/GR;GR;10.110.238.64
4633;Wilerstrasse 228;9230;Flawil;SG;10.110.238.80
4635;Autobahnraststätte Glarnerland A3;8867;Niederurnen;GL;10.110.238.96
4636;Bielstrasse 21;3053;Münchenbuchsee;BE;10.110.238.112
4638;Zürichstrasse 114;8134;Adliswil ZH;ZH;10.110.238.128
4639;Chemin de Lavegny 2;1350;Orbe;VD;10.110.238.144
4692;Industriestrasse 43;5036;Oberentfelden;AG;10.110.238.160
4714;Route de la Rosière 10;1782;Belfaux;FR;10.110.224.128
4792;Route de Champ-Colin 7;1260;Nyon;VD;10.110.238.176
4821;Schaffhauserstrasse 240;8222;Beringen;SH;10.110.238.192
4823;Bernstrasse 201;3052;Zollikofen;BE;10.110.242.112
4824;Place de la Gare 4;1260;Nyon;VD;10.110.238.208
4844;Thurgauerstrasse 36/38;8050;Zürich;ZH;10.110.242.128
4849;Dorfstrasse 2;7220;Schiers/GR;GR;10.110.238.224
4854;Badenerstrasse 575a;8048;Zürich;ZH;10.110.242.144
